Slice;Time;r_20181219_09;c_20181219_09;g_20181219_09;r_20181219_16;c_20181219_16;g_20181219_16;r_20190429_05;c_20190429_05;g_20190429_05;r_20190429_06a;c_20190429_06a;g_20190429_06a;r_20190429_08;c_20190429_08;g_20190429_08;g_20190429_09;r_20190429_12a;c_20190429_12a;g_20190429_12a;r_20190429_13;c_20190429_13;g_20190429_13;r_20190429_14;c_20190429_14;g_20190429_14;r_20190731_20b;c_20190731_20b;r_20190806_06;c_20190806_06;r_20190806_20a;c_20190806_20a;r_20200801_01a;c_20200801_01a;g_20200801_01a;r_20200801_01b;c_20200801_01b;g_20200801_01b;r_20200801_02;c_20200801_02;g_20200801_02;r_20200801_03;c_20200801_03;g_20200801_03;r_20200801_04;c_20200801_04;g_20200801_04;r_20200801_10;c_20200801_10;g_20200801_10;r_20200801_11;c_20200801_11;g_20200801_11;r_20200801_12;c_20200801_12;g_20200801_12;r_20200801_13;c_20200801_13;g_20200801_13;r_20200801_14;c_20200801_14;g_20200801_14;r_20200801_16;c_20200801_16;g_20200801_16;r_20200801_17a;c_20200801_17a;g_20200801_17a;r_20200801_18a;c_20200801_18a;g_20200801_18a;r_20200801_19;c_20200801_19;g_20200801_19;r_20200801_20a;c_20200801_20a;g_20200801_20a;;r_20181219_01b;c_20181219_01b;r_20181219_04b;c_20181219_04b;r_20181219_5;c_20181219_5;r_20181219_8;c_20181219_8;r_20181219_12;c_20181219_12;r_20181219_14;c_20181219_14;r_20190131_3;c_20190131_3;r_20190131_5;c_20190131_5;r_20190131_8II;c_20190131_8II;r_20190322_4;c_20190322_4;r_20190322_7;c_20190322_7;r_20190429_11;c_20190429_11;r_20190731_3;c_20190731_3;r_20190731_7;c_20190731_7;r_20190731_8I;c_20190731_8I;r_20190731_9;c_20190731_9;r_20190731_11;c_20190731_11;r_20190731_12;c_20190731_12;r_20190731_13;c_20190731_13;r_20190731_15;c_20190731_13;r_20190731_18;c_20190731_18;r_20190731_19;c_20190731_19;r_20190731_21;c_20190731_21
77;380;1;2;4114;1;3;5758;1;1;11224;0;0;3418;0;0;4833;11538;1;1;8778;1;1;16884;1;1;4442;1;1;1;1;1;1;1;1;3410;0;0;2932;0;0;3190;1;5;3472;1;2;3649;1;1;4026;1;4;4087;0;0;2536;1;3;3457;1;1;4059;0;0;2977;1;3;3361;1;1;2707;0;0;2476;1;2;3582;;1;1;0;0;1;1;1;3;1;1;;;1;2;0;0;0;0;1;2;0;0;1;1;1;3;1;2;1;2;0;0;0;0;0;0;0;0;0;0;;;1;2;1;1
78;385;1;2;4005;1;1;5545;1;2;13884;0;0;3261;0;0;4927;11121;1;1;7367;1;2;15678;1;1;4540;1;2;1;1;1;2;1;1;3754;0;0;2935;0;0;3161;1;5;3654;1;2;3458;1;1;3836;1;4;3602;0;0;2562;1;3;3335;1;1;4176;0;0;2815;1;2;3380;0;0;2581;0;0;2499;1;2;3339;;1;1;0;0;1;1;1;3;1;1;;;1;2;0;0;0;0;1;2;0;0;1;1;1;3;1;2;1;2;0;0;0;0;0;0;0;0;0;0;;;0;0;1;1
79;390;1;2;4191;1;1;5306;1;2;13808;0;0;3274;0;0;5496;12267;1;1;6649;1;2;13490;1;1;4271;1;1;1;1;1;2;1;2;3318;0;0;2881;0;0;3057;1;5;3139;1;3;3408;1;2;3740;1;4;3565;0;0;2478;1;2;3140;1;1;4434;0;0;2946;1;2;3551;1;1;2747;0;0;2578;1;2;3582;;1;1;0;0;0;0;1;2;0;0;;;1;2;1;1;0;0;1;3;0;0;1;1;1;3;1;2;1;2;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0
80;395;1;1;4074;1;1;6608;1;2;12254;0;0;3764;1;1;6769;12644;0;0;6436;1;2;14929;1;1;4258;1;1;0;0;1;2;1;2;3352;0;0;3095;0;0;3163;1;5;3338;1;4;3353;1;1;4060;1;4;3718;0;0;2436;1;1;3050;1;1;3830;0;0;2923;1;2;3415;1;3;2775;0;0;2463;1;2;3364;;1;1;0;0;0;0;1;2;0;0;;;1;2;1;1;0;0;1;3;0;0;1;1;1;3;1;2;0;0;1;2;0;0;0;0;0;0;0;0;;;0;0;0;0
81;400;1;1;3708;1;1;7388;1;2;11581;0;0;3435;1;2;7182;12471;0;0;6039;1;2;15896;1;1;4259;1;1;0;0;1;2;1;2;3080;0;0;3114;0;0;3052;1;3;3435;1;4;3233;1;1;4414;1;2;3683;0;0;2463;1;1;3116;1;1;4449;0;0;3016;1;2;3175;1;3;2932;0;0;2506;1;2;3485;;1;1;0;0;0;0;1;2;0;0;;;1;2;1;1;1;2;1;3;0;0;1;1;1;3;1;2;0;0;1;2;0;0;1;1;0;0;0;0;;;0;0;0;0
82;405;1;2;3964;1;1;7353;1;2;14368;0;0;3469;1;2;7875;12396;0;0;6028;1;1;15625;1;1;4313;1;2;0;0;1;2;1;1;3153;0;0;2979;0;0;2927;1;3;3429;1;3;3001;1;1;4816;1;2;3516;0;0;2441;1;1;3312;1;1;3942;1;1;3598;1;2;3084;1;3;2950;1;3;2859;1;3;3778;;1;1;0;0;0;0;0;0;0;0;;;1;2;1;1;1;2;1;3;0;0;1;1;1;3;0;0;0;0;1;2;0;0;1;1;0;0;0;0;;;0;0;0;0
83;410;1;3;4047;1;1;6212;1;2;12665;0;0;3518;1;2;7543;11774;0;0;6252;1;1;12214;1;1;4948;1;2;0;0;1;2;1;1;3277;0;0;2884;0;0;2880;1;3;3315;1;5;2959;1;2;5176;1;2;4053;1;1;2675;1;1;3171;1;1;3973;1;1;3928;0;0;2885;1;3;2867;1;3;2886;1;2;3727;;1;1;1;1;0;0;0;0;0;0;;;1;2;1;1;1;2;1;3;0;0;1;1;1;3;0;0;0;0;1;2;0;0;1;1;0;0;0;0;;;0;0;0;0
84;415;1;3;3668;1;1;5034;1;2;10395;0;0;3603;1;2;7313;11881;0;0;6189;1;1;11464;1;1;4450;1;2;1;1;1;2;1;1;3491;0;0;3078;0;0;2954;1;3;3508;1;5;3119;1;3;4447;1;2;3506;1;1;2780;1;1;3062;1;1;3733;1;1;3916;1;2;3003;1;3;3046;1;3;2861;1;2;3313;;1;1;1;1;0;0;0;0;0;0;;;0;0;1;1;1;2;1;3;0;0;0;0;1;3;0;0;0;0;1;2;0;0;1;1;0;0;0;0;;;0;0;0;0
85;420;1;3;3524;0;0;4727;1;2;12534;0;0;3582;1;2;7373;13886;0;0;6125;1;1;10866;1;1;4222;1;2;1;2;1;2;1;1;2946;0;0;3021;1;1;3578;1;3;3471;1;5;3092;1;3;4954;1;2;3824;1;1;2793;1;2;3201;1;1;3462;1;1;4287;1;2;3096;1;5;2791;1;3;2666;1;2;3375;;1;1;1;1;0;0;0;0;0;0;;;0;0;1;1;1;2;1;3;0;0;0;0;1;3;0;0;0;0;1;2;0;0;1;1;0;0;0;0;;;0;0;0;0
86;425;1;3;3651;0;0;4431;1;1;13670;0;0;3682;1;2;7920;12936;0;0;6346;0;0;10908;1;3;3968;1;2;1;3;1;2;0;0;2750;0;0;2965;1;1;3939;1;3;3432;1;5;3175;1;3;4149;1;1;3775;1;1;2692;1;2;3092;1;2;3696;1;1;4276;1;2;3157;1;5;2747;1;3;2710;1;2;3645;;0;0;1;1;0;0;0;0;0;0;;;0;0;0;0;1;2;1;3;0;0;0;0;1;3;0;0;0;0;1;2;0;0;1;1;1;1;0;0;;;0;0;0;0
87;430;1;2;4042;0;0;4404;1;1;11729;1;1;3710;1;1;6337;11590;1;2;6972;0;0;8855;1;2;4516;1;2;1;3;1;2;1;2;3016;0;0;3066;1;1;4047;1;3;3480;1;5;2966;1;3;3707;0;0;3070;1;2;2615;1;1;3012;1;1;3957;1;1;4101;1;3;3385;1;5;2713;1;3;2827;1;2;3451;;0;0;1;1;0;0;0;0;0;0;;;1;1;0;0;1;2;1;2;0;0;0;0;1;3;0;0;0;0;1;2;0;0;1;1;1;2;0;0;;;0;0;0;0
88;435;1;2;4305;0;0;4124;0;0;9378;1;1;4752;1;1;5913;12260;1;2;9069;0;0;9468;1;2;4502;1;2;1;3;0;0;1;2;3177;1;2;3733;1;2;4155;1;1;3295;1;4;3088;1;3;4002;0;0;3126;1;1;2605;1;1;2768;1;1;4082;1;1;3410;1;4;3649;1;5;2712;1;4;2747;1;2;3911;;0;0;1;1;0;0;0;0;0;0;;;1;1;0;0;1;2;1;2;0;0;0;0;1;2;0;0;0;0;1;2;0;0;1;1;1;2;0;0;;;0;0;0;0
89;440;1;2;4409;0;0;4143;0;0;9931;1;1;4583;1;1;5942;12195;1;2;10207;0;0;9261;1;2;4997;1;1;1;3;0;0;1;3;3199;1;2;4274;1;3;4123;0;0;3073;1;4;3159;1;2;4136;1;2;3249;1;1;2663;0;0;2686;1;1;4223;1;2;3502;1;4;3415;1;5;2715;1;4;2760;1;2;4010;;0;0;1;1;0;0;1;2;0;0;;;1;2;0;0;1;2;1;2;0;0;0;0;1;2;0;0;0;0;1;2;0;0;0;0;1;2;0;0;;;0;0;0;0
90;445;1;1;4313;1;1;5029;0;0;9909;1;1;4095;1;2;6047;11627;1;2;8943;0;0;8132;1;4;4545;1;1;1;3;0;0;1;3;3341;1;2;4197;1;3;3733;0;0;2865;1;3;3151;1;3;3941;1;2;3463;1;1;2758;0;0;2688;1;1;4694;1;1;3322;1;6;3291;1;6;2583;1;3;2744;1;3;4093;;0;0;0;0;0;0;1;2;0;0;;;1;2;1;1;1;1;1;1;0;0;0;0;1;1;0;0;0;0;1;2;0;0;0;0;1;2;0;0;;;0;0;0;0
91;450;1;1;3760;1;1;5784;0;0;9865;1;1;4352;1;2;6296;10984;1;2;9645;0;0;8702;1;4;4424;1;1;1;4;0;0;1;3;3129;1;2;3923;1;3;3649;0;0;2799;1;3;3189;1;3;3647;1;2;3558;1;1;2754;0;0;2686;1;1;4115;1;1;3896;1;6;3067;1;5;2631;1;2;2605;1;3;3742;;0;0;0;0;0;0;1;2;0;0;;;1;2;1;1;1;1;1;1;0;0;0;0;1;1;0;0;0;0;1;2;0;0;0;0;1;1;0;0;;;0;0;0;0
92;455;1;1;3710;1;1;6151;0;0;9883;1;1;4242;1;2;7129;11688;1;2;10373;0;0;8965;1;4;4348;1;1;1;4;0;0;1;3;3159;1;2;4094;1;2;3626;1;1;3210;1;3;3154;1;3;4010;1;2;3684;1;1;2551;0;0;2759;1;1;4002;1;1;4030;1;6;2947;1;5;2659;1;1;2586;1;3;3825;;0;0;0;0;0;0;1;2;0;0;;;1;2;1;1;1;1;1;1;0;0;0;0;1;1;0;0;0;0;1;2;1;1;0;0;1;1;0;0;;;0;0;0;0
93;460;1;1;3971;1;1;7121;0;0;9433;1;3;4704;1;2;5787;11576;1;2;9777;0;0;8871;1;4;3723;1;2;1;3;0;0;1;3;3164;1;2;3876;1;2;3563;1;2;3751;1;3;3320;1;3;3791;1;2;3736;1;1;2631;0;0;2762;1;1;3838;1;1;3669;1;6;2917;1;4;2637;1;1;2688;1;3;3717;;0;0;1;1;0;0;1;2;0;0;;;1;2;1;1;1;2;1;1;0;0;0;0;1;1;0;0;0;0;1;3;1;1;0;0;1;1;0;0;;;0;0;0;0
94;465;1;1;3656;1;1;6999;0;0;9413;1;3;4557;1;2;5932;12143;1;3;9553;0;0;8765;1;4;3897;1;2;1;3;0;0;1;1;3066;1;3;3761;1;2;3610;1;2;3565;1;1;3556;1;2;3850;1;4;3809;1;1;2697;0;0;2717;1;1;3850;1;1;3600;1;6;2861;1;4;2676;1;1;2746;1;3;3517;;0;0;1;1;0;0;1;2;0;0;;;1;2;1;1;1;2;1;1;0;0;0;0;1;1;1;1;0;0;1;2;1;1;0;0;1;1;0;0;;;1;1;0;0
95;470;0;0;3183;1;2;7142;0;0;8826;1;3;4329;1;2;5558;11726;1;3;9995;0;0;9459;1;4;3662;1;2;1;3;0;0;1;1;2809;1;3;3583;1;2;3840;1;3;3612;1;1;3335;1;1;4189;1;4;3404;1;2;2731;0;0;2776;1;1;3893;1;1;3222;1;5;3140;1;5;2698;1;1;2882;1;2;3622;;0;0;1;2;0;0;1;2;0;0;;;1;2;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;0;0;1;1;0;0;;;1;1;0;0
96;475;0;0;3039;1;2;7089;0;0;9319;1;3;4567;1;2;5332;10849;1;3;8541;0;0;8796;1;4;3705;1;2;1;3;0;0;1;1;2997;1;1;3292;1;1;3453;1;4;3434;1;1;3007;1;1;4510;1;4;3536;1;2;2724;0;0;2735;1;1;3664;0;0;3007;1;6;3282;1;6;2674;1;1;2674;1;2;3550;;0;0;1;2;0;0;1;2;0;0;0;0;1;2;1;2;0;0;1;2;0;0;0;0;1;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;;;1;2;0;0
97;480;0;0;2940;1;3;6778;0;0;8804;1;3;4335;1;1;5661;9618;1;3;8493;0;0;8246;1;3;3953;1;2;1;3;1;1;1;1;2994;1;1;3138;1;1;3857;1;4;3462;1;1;2962;1;1;4011;1;4;4028;1;2;2655;0;0;2707;0;0;3477;0;0;2960;1;6;3283;1;5;2720;1;1;2622;1;2;3417;;0;0;1;2;0;0;1;2;0;0;1;1;1;1;1;2;0;0;1;2;0;0;0;0;1;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;;;1;2;0;0
98;485;0;0;2907;1;3;5618;0;0;8794;1;3;4086;1;0;5436;9742;1;1;7434;0;0;8644;1;3;3835;1;3;1;3;1;1;1;2;3427;1;2;3353;1;1;3471;1;4;3417;1;2;3175;1;1;3556;1;4;3330;1;2;2571;0;0;2841;0;0;3473;0;0;3052;1;6;3058;1;6;2671;0;0;2485;1;2;3651;;0;0;1;3;0;0;1;2;0;0;1;1;1;1;1;2;0;0;1;2;0;0;0;0;1;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;;;1;2;0;0
99;490;1;1;3198;1;3;5355;0;0;10078;1;3;3868;1;0;5078;10160;1;1;7356;0;0;9400;1;5;3789;1;3;1;3;1;1;1;2;3294;1;2;3312;1;1;3514;1;4;3162;1;3;3276;0;0;3233;1;4;3415;1;1;2599;1;2;3260;0;0;3544;0;0;3007;1;6;3191;1;6;2582;0;0;2504;1;2;3505;;0;0;1;3;0;0;1;2;0;0;1;1;1;1;1;2;0;0;1;2;0;0;0;0;1;1;1;1;1;2;1;1;1;1;0;0;1;1;0;0;0;0;1;2;0;0
100;495;1;1;3623;1;4;5353;0;0;9004;1;3;3863;1;0;5247;8721;1;2;7658;0;0;9954;1;5;4052;1;4;1;4;1;1;1;2;3387;1;2;3451;1;1;3604;1;4;3518;1;5;3265;0;0;3498;1;4;3597;1;1;2561;1;2;3308;0;0;3454;0;0;2972;1;6;2897;1;5;2663;1;2;2647;1;1;3407;;0;0;1;3;0;0;1;4;0;0;1;1;1;1;0;0;1;1;1;3;1;2;1;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;0;0;1;1;1;2;0;0
101;500;1;1;3727;1;4;5482;0;0;10128;1;2;3751;1;1;6805;8347;1;2;8856;1;2;13749;1;5;3882;1;4;1;4;1;1;1;3;3186;1;2;3610;1;1;3797;1;4;3441;1;6;3375;1;1;3564;1;4;3343;1;2;2542;1;2;3396;0;0;3402;0;0;2941;1;7;2897;1;5;2630;1;2;2979;1;1;2979;;0;0;1;1;0;0;1;4;0;0;1;1;1;1;0;0;1;1;1;3;1;2;1;1;0;0;1;2;1;2;1;1;1;1;1;1;1;1;0;0;1;1;1;2;0;0
102;505;1;1;3843;1;4;5343;0;0;9954;1;2;3781;1;2;7219;8498;1;2;10018;1;2;14120;1;5;3833;1;4;1;4;1;3;1;2;3308;1;2;3698;1;2;3425;1;4;3268;1;6;3158;1;2;3548;1;4;3274;1;2;2854;1;3;3348;1;1;3895;1;1;3693;1;7;2813;1;5;2743;1;2;2752;1;2;2982;;0;0;1;2;0;0;1;4;0;0;1;1;0;0;0;0;1;1;1;3;1;2;1;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;0;0;1;1;1;2;0;0
103;510;1;2;4021;1;4;5357;0;0;9734;1;2;4080;1;2;8092;8775;1;2;10888;1;2;14433;1;5;3559;1;4;1;4;1;3;1;2;3230;1;1;3662;1;3;3242;1;6;3099;1;6;3220;1;2;3662;1;5;3524;1;2;2704;1;4;3284;1;1;4158;1;1;4032;1;7;2860;1;5;2846;1;2;2870;1;2;3131;;0;0;1;2;0;0;1;4;1;1;1;1;0;0;0;0;1;1;1;2;1;2;1;1;1;1;1;2;1;2;1;2;0;0;1;1;1;1;0;0;1;1;1;2;0;0
104;515;1;2;4014;1;3;5633;0;0;9638;1;2;4429;1;2;8731;9629;1;1;10221;1;2;14096;1;5;3842;1;4;1;4;1;3;1;2;3107;1;1;3439;1;2;3645;1;7;3160;1;6;3325;1;3;3558;1;5;3415;1;2;2680;1;4;3154;1;1;4493;1;1;3986;1;6;2781;1;4;2708;1;2;2944;1;3;3333;;0;0;1;2;0;0;1;5;1;1;1;1;0;0;1;1;1;1;1;3;1;2;1;1;1;2;1;2;1;2;1;2;0;0;1;1;1;1;0;0;1;1;1;2;0;0
105;520;1;4;4060;1;3;6030;0;0;10526;1;2;3807;1;2;8792;10767;1;1;10762;1;2;14434;1;5;3714;1;4;1;4;1;3;1;2;3180;1;1;3582;1;2;4527;1;9;3149;1;6;3095;1;3;3498;1;5;3369;1;2;2670;1;3;3084;1;2;4379;1;2;3988;1;6;2844;1;4;2635;1;4;2736;1;3;3468;;0;0;1;2;1;1;1;5;1;2;0;0;1;1;1;1;1;1;1;3;1;2;1;1;1;2;1;2;1;2;1;2;0;0;1;1;1;1;0;0;1;1;1;1;0;0
106;525;1;4;3827;1;3;5971;1;1;18308;1;2;3769;1;2;8036;10421;1;1;10557;1;2;13362;1;4;3727;1;4;1;3;1;4;1;2;3279;1;2;3262;1;2;4223;1;7;2978;1;8;2918;1;3;3335;1;5;3391;1;2;2802;1;2;3098;1;2;4047;1;2;3993;1;6;2957;1;4;2685;1;4;2621;1;3;3902;;0;0;1;2;1;1;1;5;1;2;0;0;1;2;1;1;1;1;1;3;1;2;1;1;1;2;1;2;1;1;1;1;0;0;1;1;0;0;0;0;1;1;1;1;1;1
107;530;1;4;3697;1;3;5755;1;1;19151;1;2;3601;1;2;8427;12532;1;1;9643;1;2;14972;1;4;3800;1;4;1;3;1;4;1;2;3468;1;2;3237;1;2;4263;1;7;2976;1;8;2983;1;3;3606;1;5;3322;0;0;2401;1;1;3394;1;2;4028;1;2;4098;1;6;2982;1;4;2930;1;4;2700;1;3;3919;;0;0;1;2;1;1;1;5;1;2;0;0;1;2;1;1;0;0;1;3;1;2;1;1;1;2;1;2;1;2;1;1;0;0;1;1;0;0;0;0;1;1;1;1;1;2
108;535;1;4;3764;1;3;6006;1;1;16442;0;0;3552;1;1;7810;11512;1;2;8147;1;2;14363;1;5;3711;1;4;1;3;1;4;1;2;3162;1;1;3933;1;3;4113;1;7;3190;1;7;2887;1;4;3564;1;5;3392;1;2;2457;1;1;3320;1;2;3424;1;2;3293;1;5;3181;1;4;2890;1;2;2583;1;6;3633;;0;0;1;2;1;1;1;6;1;2;0;0;1;2;1;1;0;0;1;3;1;1;1;1;1;2;1;2;1;3;1;1;0;0;1;1;0;0;0;0;1;1;1;1;1;2
109;540;1;5;3651;1;3;5687;1;1;18761;0;0;3720;1;1;8270;12542;1;2;10082;1;2;12840;1;5;3913;1;4;1;3;1;4;1;2;3205;1;1;4069;1;4;3586;1;7;3139;1;7;2906;1;5;3614;1;5;3291;1;2;2493;1;1;3699;1;1;3407;1;2;3265;1;5;3082;1;3;2741;1;3;2688;1;6;3318;;0;0;1;2;1;1;1;6;1;2;0;0;1;2;1;1;0;0;1;3;0;0;1;1;1;2;1;2;1;3;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;2
110;545;1;5;3419;1;3;6811;1;1;16680;0;0;3534;1;1;6526;10571;1;2;9432;1;2;12841;1;5;4391;1;4;1;3;1;4;1;2;3591;1;2;4306;1;3;3583;1;7;3155;1;7;3166;1;4;3580;1;5;3011;1;2;2547;1;1;3046;1;1;3464;1;1;3654;1;5;3089;1;3;2712;1;3;2627;1;6;3302;;0;0;1;2;1;1;1;6;1;1;0;0;1;2;1;2;1;1;1;4;0;0;1;1;1;2;1;2;1;2;1;1;0;0;1;1;0;0;0;0;1;1;1;1;1;2
111;550;1;6;3552;1;3;6918;1;1;15349;0;0;3616;1;1;6477;11399;1;2;8898;1;2;11629;1;5;3892;1;4;1;3;1;4;1;2;3544;1;3;3932;1;3;3622;1;6;3074;1;7;3158;1;4;3577;1;5;3319;1;3;2469;1;1;2853;1;2;4121;1;2;3972;1;5;3184;1;3;2806;1;3;2724;1;6;3252;;0;0;1;1;1;1;1;6;1;1;0;0;1;2;1;2;1;2;1;3;0;0;1;1;1;2;1;1;1;2;1;1;1;2;1;1;0;0;0;0;0;0;1;1;1;2
112;555;1;6;3357;1;2;6292;1;1;14638;1;1;4470;1;1;6851;10541;1;2;9957;1;2;12567;1;4;3858;1;3;1;3;1;4;1;2;3572;1;3;3721;1;4;3552;1;5;3057;1;6;3116;1;4;3574;1;4;3399;1;3;2526;0;0;2758;1;2;3603;1;2;3460;1;5;3374;1;1;2848;1;3;2583;1;6;3336;;0;0;1;1;0;0;1;6;1;1;0;0;1;2;1;2;1;2;1;4;0;0;1;1;1;2;1;1;1;2;1;1;1;2;1;2;0;0;0;0;0;0;1;1;1;2
113;560;1;6;3521;1;2;7071;1;1;13779;1;2;5043;1;1;6923;10495;1;3;9380;1;2;11518;1;4;3871;1;4;1;3;1;5;1;2;3599;1;3;3593;1;4;3580;1;5;3390;1;6;3077;1;4;3646;1;3;3312;1;3;2468;0;0;2639;1;2;3633;1;2;3604;1;5;3227;1;1;2808;1;3;2745;1;5;3202;;0;0;1;1;0;0;1;6;0;0;0;0;1;2;1;1;1;2;1;4;0;0;1;2;1;2;1;1;1;2;1;1;1;2;1;2;0;0;0;0;0;0;1;1;1;2
114;565;1;6;3340;1;2;6642;1;1;14383;1;2;5046;0;0;6048;9314;1;3;8343;1;2;13096;1;4;4133;1;4;1;3;1;5;1;1;3481;1;3;3435;1;4;3468;1;5;3290;1;7;2912;1;4;3745;1;3;3320;1;3;2566;0;0;2720;1;1;3796;1;1;3587;1;5;3114;0;0;2453;1;3;2649;1;5;3401;;0;0;1;1;0;0;1;6;0;0;0;0;1;3;0;0;1;2;1;4;0;0;1;2;1;2;1;1;1;2;1;1;1;2;1;3;0;0;1;2;0;0;0;0;1;2
115;570;1;6;3361;1;2;6375;1;1;14545;1;2;5547;0;0;5814;10416;1;3;8903;1;1;14477;1;3;4594;1;4;1;3;1;5;1;1;3488;1;3;3440;1;4;3423;1;5;3249;1;7;2968;1;4;3624;1;4;3780;1;2;2533;1;1;2715;1;1;3862;1;1;4056;1;5;3421;0;0;2445;1;3;2868;1;5;3423;;0;0;1;1;1;1;1;5;0;0;0;0;1;4;0;0;1;2;1;4;0;0;1;2;1;2;1;1;1;2;1;1;1;2;1;3;0;0;1;2;0;0;1;1;1;1
116;575;1;6;3431;1;2;5390;1;1;14065;1;2;5232;0;0;5663;9676;1;3;7926;1;1;13144;1;2;4177;1;4;1;3;1;5;1;1;3492;1;4;3416;1;4;3608;1;5;3239;1;6;3120;1;4;3776;1;4;3410;1;2;2644;1;1;2725;1;1;4290;1;2;4367;1;5;3261;0;0;2456;1;2;2820;1;5;3424;;0;0;1;1;1;1;1;5;0;0;0;0;1;4;0;0;1;2;1;4;0;0;1;2;0;0;1;1;1;2;1;1;1;2;1;3;0;0;1;2;0;0;0;0;1;1
117;580;1;6;3268;1;2;6321;1;1;11959;1;3;5030;0;0;5266;9426;1;3;8175;1;1;13022;1;2;4258;1;3;1;2;1;5;1;1;3102;1;4;3367;1;3;3225;1;5;3137;1;5;3332;1;4;4160;1;4;3203;1;2;2632;1;3;3000;1;1;4057;1;2;3533;1;5;3456;0;0;2383;1;1;2590;1;4;3274;;0;0;0;0;1;1;1;5;0;0;0;0;1;4;0;0;1;2;1;4;0;0;1;1;0;0;1;1;1;2;0;0;1;2;1;3;1;4;1;2;0;0;1;1;1;1
118;585;1;7;3240;1;2;5514;0;0;10985;1;3;4457;0;0;5022;9696;1;3;8643;1;1;13068;1;2;4766;1;3;1;1;1;4;0;0;2856;1;4;3300;1;3;3397;1;5;3143;1;6;2943;1;5;3748;1;4;3307;1;2;2624;1;3;3026;1;2;4363;1;2;3682;1;3;3335;0;0;2459;0;0;2493;1;4;3575;;0;0;0;0;1;1;1;5;0;0;0;0;1;5;0;0;1;2;1;3;0;0;0;0;0;0;1;1;1;2;;;1;2;1;3;1;4;1;2;0;0;0;0;0;0
119;590;1;6;3447;1;2;5174;1;1;10710;1;3;4042;1;1;6008;9140;1;3;9307;1;1;12839;1;1;4324;1;3;1;1;1;4;0;0;2700;1;3;3506;1;2;3505;1;5;3006;1;6;2988;1;5;3581;1;3;3285;1;2;2625;1;3;3115;1;2;4347;1;1;3608;1;3;3149;0;0;2373;0;0;2457;1;4;3497;;0;0;0;0;1;1;1;5;0;0;0;0;1;5;0;0;1;2;1;3;0;0;0;0;1;1;1;1;1;2;;;1;2;1;4;1;4;1;2;0;0;0;0;0;0
120;595;1;7;3219;1;2;5165;1;1;11700;1;2;4438;1;1;6718;9560;1;2;9124;1;1;11452;1;1;4266;1;3;1;1;1;4;0;0;2633;1;3;3421;1;1;3120;1;5;3222;1;6;3035;1;5;3889;1;3;3327;1;1;2619;1;3;2971;1;2;3975;1;1;3524;1;3;3207;0;0;2416;0;0;2445;1;4;3455;;0;0;0;0;1;1;1;5;0;0;0;0;1;5;0;0;1;2;1;3;0;0;0;0;1;1;1;1;1;2;;;1;3;1;4;1;4;1;2;0;0;0;0;0;0
121;600;1;6;3654;1;1;4073;1;1;14337;1;2;4919;1;1;6883;9321;1;1;11527;1;1;11808;1;1;4805;1;3;0;0;1;4;0;0;2598;1;5;3299;1;1;2856;1;6;2976;1;5;2918;1;5;4025;1;3;3788;0;0;2382;1;4;3089;1;1;3933;1;3;3344;1;2;2980;0;0;2386;0;0;2449;1;3;3519;;0;0;0;0;0;0;1;6;0;0;0;0;1;5;0;0;1;3;1;3;0;0;0;0;1;2;1;1;1;2;;;1;4;1;5;1;4;1;2;0;0;0;0;0;0
122;605;1;6;3481;1;1;4183;1;1;13295;1;2;5083;1;1;6327;9655;1;1;9879;0;0;9290;1;1;4901;1;3;0;0;1;4;1;2;2680;1;5;3411;1;1;3162;1;6;3226;1;5;3030;1;4;4025;1;3;3292;0;0;2407;1;4;2956;1;2;3760;1;3;3437;1;1;2740;0;0;2358;1;1;2410;1;3;3236;;0;0;0;0;0;0;1;6;0;0;0;0;1;5;0;0;1;3;1;3;0;0;0;0;1;2;0;0;1;2;;;1;4;1;5;1;4;1;2;0;0;0;0;0;0
123;610;1;5;3391;0;0;4209;1;1;14568;1;2;5295;1;1;6986;9201;1;2;7408;0;0;9363;1;1;4697;1;3;0;0;1;3;1;2;3138;1;5;3393;1;2;3289;1;6;3269;1;5;3054;1;4;4389;1;2;3819;0;0;2404;1;4;3009;1;2;4057;1;3;3675;0;0;2687;0;0;2381;1;2;2554;1;3;3409;;0;0;1;1;0;0;1;7;0;0;0;0;1;5;0;0;1;2;1;4;0;0;0;0;1;2;0;0;1;2;;;1;4;1;5;1;4;1;2;0;0;0;0;0;0
