parasite,analysis,Fluorescence Signal/Area before replication,Time to last replication,Time last replication to egress,Start 1st replication,End 1st Replication,Lenght 1st round of Replication (min),1st Division,Time between Replication end and division ,Start 2nd replication,Time between 1st & 2nd replication,Time between division & 2nd replication,End 2nd round of replication,Lenght 2nd round of replication,Start 3rd round of replication,End 3rd round of replication ,Lenght 3rd round of replication,Time between 2nd & 3rd round of replication,2nd Divison,Time between 2rd round & 2nd Division,Start 4th,End 4th,Lenght 4th,Start 5th,End 5th,Lenght 5th,3rd Division,Time between 3rd round and 3rd Division,Time between 2nd Div & 4th Rep,Time between 2nd Div & 5th Rep,Synchronous first,Bridge,Comment
21,20190731,502.9942115,,,68,79,55,96,85,106,135,50,114,40,107,118,55,-35,,,,,,,,,,,,,yes,unclear,
22,20190731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unclear
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20190806,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03I,20190806,,,,,9,,23,70,32,115,45,37,25,35,42,35,-10,,,,,,,,,,,,,no,,Double infection
03II,20190806,,,,16,24,40,44,100,54,150,50,60,30,,,,,,,,,,,,,,,,,no,,
4,20190806,637.7539495,,,44,59,75,82,115,83,120,5,97,70,83,97,70,-70,,,,,,,,,,,,,yes,yes,Synchronous
,20190806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06I,20190806,,600,195,,6,,17,55,28,110,55,35,35,39,46,35,20,44,55,51,58,35,51,,,,,35,35,no,,Double infection; tree
06II,20190806,,,,24,37,65,,,,,,,,,,,,,,,,,,,,,,,, - ,,
10,20190806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unclear
11,20190806,280.1565695,,,84,99,75,127,140,132,165,25,147,75,132,147,75,-75,,,,,,,,,,,,,yes,yes,Synchronous
15,20190806,424.9293822,,,28,41,65,57,80,63,110,30,71,40,73,80,35,10,,,,,,,,,,,,,no,,
17,20190806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unclear
18,20190806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No replication
20a,20190806,,715,200,,9,,23,70,35,130,60,43,40,47,53,30,20,50,50,56,63,35,61,68,35,,,30,55,no,,
